,소계,소계,살인,살인,강도,강도,강간·강제추행,강간·강제추행,절도,절도,폭력,폭력
,발생,검거,발생,검거,발생,검거,발생,검거,발생,검거,발생,검거
행정구별,,,,,,,,,,,,
소계,90399,65097,104,98,117,112,5816,5344,37579,20205,46783,39338
종로구,3138,3284,2,3,8,8,228,988,1313,932,1587,1353
중구,3071,2119,1,2,5,4,194,123,1365,724,1506,1266
용산구,2967,2093,5,3,7,7,280,238,978,508,1697,1337
성동구,2194,1597,2,2,2,2,125,97,979,538,1086,958
광진구,3619,2498,6,5,0,0,230,174,1670,831,1713,1488
동대문구,3253,2231,4,4,2,2,125,106,1556,823,1566,1296
중랑구,3599,2671,2,2,2,2,150,121,1508,882,1937,1664
성북구,2749,2125,3,3,1,1,158,129,1143,715,1444,1277
강북구,2832,2343,5,4,5,6,177,147,872,589,1773,1597
도봉구,2141,1569,3,3,0,0,70,54,969,546,1099,966
노원구,3896,2641,3,3,3,1,180,151,1504,729,2206,1757
은평구,3487,2658,4,4,5,4,176,146,1497,946,1805,1558
서대문구,2374,1605,5,4,6,6,157,144,1114,565,1092,886
마포구,4096,2814,2,2,2,1,436,368,1451,653,2205,1790
양천구,3169,2130,2,2,3,3,114,92,1474,781,1576,1252
강서구,4663,3591,3,3,7,7,261,195,1991,1185,2401,2201
구로구,3857,2732,11,11,8,9,217,145,1565,841,2056,1726
금천구,2577,1887,2,1,3,3,127,87,1118,662,1327,1134
영등포구,4819,3186,5,6,10,9,327,237,2062,953,2415,1981
동작구,2735,1741,2,3,5,5,212,107,1195,588,1321,1038
관악구,4879,3411,10,8,9,8,327,279,1966,1050,2567,2066
서초구,4459,3098,3,2,3,3,431,328,1921,1024,2101,1741
강남구,6947,5020,12,10,11,10,667,534,2495,1207,3762,3259
송파구,5167,3409,2,2,5,6,290,220,2201,1033,2669,2148
강동구,3711,2644,5,6,5,5,157,134,1672,900,1872,1599
